Tarih,zam
2014-01,14
2014-02,6
2014-03,4
2014-04,6
2014-05,4
2014-06,6
2014-07,7
2014-08,4
2014-09,10
2014-10,15
2014-11,11
2014-12,11
2015-01,13
2015-02,7
2015-03,7
2015-04,9
2015-05,5
2015-06,9
2015-07,10
2015-08,10
2015-09,8
2015-10,6
2015-11,9
2015-12,14
2016-01,22
2016-02,8
2016-03,5
2016-04,3
2016-05,5
2016-06,5
2016-07,12
2016-08,4
2016-09,6
2016-10,5
2016-11,8
2016-12,23
2017-01,12
2017-02,6
2017-03,4
2017-04,6
2017-05,7
2017-06,11
2017-07,14
2017-08,9
2017-09,9
2017-10,9
2017-11,10
2017-12,13
2018-01,16
2018-02,7
2018-03,7
2018-04,13
2018-05,15
2018-06,11
2018-07,27
2018-08,20
2018-09,16
2018-10,13
2018-11,11
2018-12,24
2019-01,33
2019-02,13
2019-03,10
2019-04,28
2019-05,12
2019-06,14
2019-07,22
2019-08,63
2019-09,14
2019-10,11
2019-11,10
2019-12,21
2020-01,24
2020-02,11
2020-03,9
2020-04,7
2020-05,13
2020-06,12
2020-07,21
2020-08,8
2020-09,9
2020-10,8
2020-11,9
2020-12,20
2021-01,27
2021-02,8
2021-03,7
2021-04,7
2021-05,8
2021-06,10
2021-07,22
2021-08,18
2021-09,10
2021-10,35
2021-11,38
2021-12,100
